CodeItem,Notes
geo_count,"A separate operating unit engaged in New Zealand in one, or predominately one, kind of economic activity from a single physical location or base. Due to rounding individual figures my not always sum to the stated total(s)."
ec_count,This is a head-count of all salary and wage earners for the February reference month. Due to rounding individual figures my not always sum to the stated total(s).
